,0,1,2,3,5,5.1,6,7,8,9,10,11,12,13,14,15,cs_svd
0,4.0,2_2_2_1_1,350.0,47019.08,0.02,,,,0.0,,,,,0.0,,,
1,25.0,2_1_1_1_3,350.0,69587.18,,,,,,,,,,,,,
2,10.0,2_1_1_1_1,341.15,,,,,,,,,,,,,,
3,10.0,2_1_1_1_2,344.24,,,,,,,,,,,,,,
4,10.0,2_1_1_1_3,356.7,,,,,,,,,,,,,,
5,10.0,2_1_2_1_1,510.7,,,,,,,,,,,,,,
6,10.0,2_1_3_1_1,496.17,,,,,,,,,,,,,,
7,10.0,2_2_2_1_1,564.21,,,,,,,,,,,,,,
8,10.0,2_2_3_1_1,563.31,,,,,,,,,,,,,,
9,10.0,2_3_1_1_1,3.72,,,,,,,,,,,,,,
10,10.0,3_1_1_1_2,573.36,,,,,,,,,,,,,,
11,11.0,2_1_3_1_1,493.36,,,,,,,,,,,,,,
12,11.0,2_2_1_1_1,0.02,,,,,,,,,,,,,,
13,11.0,2_2_2_1_1,561.63,,,,,,,,,,,,,,
14,11.0,2_2_3_1_1,566.0,,,,,,,,,,,,,,
15,11.0,2_3_1_1_1,0.02,,,,,,,,,,,,,,
16,11.0,2_3_2_1_1,564.86,,,,,,,,,,,,,,
17,11.0,2_3_3_1_1,559.73,,,,,,,,,,,,,,
18,11.0,3_1_1_1_1,215.06,,,,,,,,,,,,,,
19,11.0,3_1_1_1_2,61.74,,,,,,,,,,,,,,
20,12.0,2_1_2_1_1,496.04,,,,,,,,,,,,,,
21,12.0,2_2_1_1_1,576.86,,,,,,,,,,,,,,
22,12.0,2_2_2_1_1,564.78,,,,,,,,,,,,,,
23,12.0,2_2_3_1_1,568.38,,,,,,,,,,,,,,
24,12.0,2_3_1_1_1,572.81,,,,,,,,,,,,,,
25,12.0,2_3_2_1_1,587.66,,,,,,,,,,,,,,
26,12.0,2_3_3_1_1,566.96,,,,,,,,,,,,,,
27,12.0,3_1_1_1_1,563.49,,,,,,,,,,,,,,
28,12.0,3_1_1_1_2,737.9,,,,,,,,,,,,,,
29,13.0,2_1_1_1_1,190.6,,,,,,,,,,,,,,
30,13.0,2_1_1_1_2,48.19,,,,,,,,,,,,,,
31,13.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
32,13.0,2_1_2_1_1,494.36,,,,,,,,,,,,,,
33,13.0,2_1_3_1_1,494.93,,,,,,,,,,,,,,
34,13.0,2_2_3_1_1,568.86,,,,,,,,,,,,,,
35,13.0,3_1_1_1_1,38.41,,,,,,,,,,,,,,
36,13.0,3_1_1_1_2,0.02,,,,,,,,,,,,,,
37,14.0,2_1_1_1_1,39.05,,,,,,,,,,,,,,
38,14.0,2_1_1_1_2,0.02,,,,,,,,,,,,,,
39,14.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
40,14.0,2_1_2_1_1,573.72,,,,,,,,,,,,,,
41,14.0,2_1_3_1_1,570.82,,,,,,,,,,,,,,
42,14.0,2_2_2_1_1,626.06,,,,,,,,,,,,,,
43,14.0,2_2_3_1_1,629.39,,,,,,,,,,,,,,
44,14.0,2_3_1_1_1,14.25,,,,,,,,,,,,,,
45,14.0,3_1_1_1_2,0.02,,,,,,,,,,,,,,
46,15.0,2_1_3_1_1,490.14,,,,,,,,,,,,,,
47,15.0,2_2_1_1_1,79.65,,,,,,,,,,,,,,
48,15.0,2_2_2_1_1,567.1,,,,,,,,,,,,,,
49,15.0,2_2_3_1_1,560.14,,,,,,,,,,,,,,
50,15.0,2_3_1_1_1,67.03,,,,,,,,,,,,,,
51,15.0,2_3_2_1_1,587.69,,,,,,,,,,,,,,
52,15.0,2_3_3_1_1,567.26,,,,,,,,,,,,,,
53,15.0,3_1_1_1_1,203.94,,,,,,,,,,,,,,
54,15.0,3_1_1_1_2,12.87,,,,,,,,,,,,,,
55,16.0,2_1_2_1_1,534.21,,,,,,,,,,,,,,
56,16.0,2_2_1_1_1,171.39,,,,,,,,,,,,,,
57,16.0,2_2_2_1_1,602.06,,,,,,,,,,,,,,
58,16.0,2_2_3_1_1,604.34,,,,,,,,,,,,,,
59,16.0,2_3_1_1_1,218.39,,,,,,,,,,,,,,
60,16.0,2_3_2_1_1,606.73,,,,,,,,,,,,,,
61,16.0,2_3_3_1_1,598.99,,,,,,,,,,,,,,
62,16.0,3_1_1_1_1,374.25,,,,,,,,,,,,,,
63,16.0,3_1_1_1_2,79.81,,,,,,,,,,,,,,
64,17.0,2_1_1_1_1,302.74,,,,,,,,,,,,,,
65,17.0,2_1_1_1_2,215.89,,,,,,,,,,,,,,
66,17.0,2_1_1_1_3,123.51,,,,,,,,,,,,,,
67,17.0,2_1_2_1_1,507.72,,,,,,,,,,,,,,
68,17.0,2_1_3_1_1,498.89,,,,,,,,,,,,,,
69,17.0,2_2_2_1_1,598.33,,,,,,,,,,,,,,
70,17.0,2_2_3_1_1,567.08,,,,,,,,,,,,,,
71,17.0,3_1_1_1_1,341.93,,,,,,,,,,,,,,
72,17.0,3_1_1_1_2,160.91,,,,,,,,,,,,,,
73,18.0,2_1_1_1_1,257.32,,,,,,,,,,,,,,
74,18.0,2_2_1_1_1,31.8,,,,,,,,,,,,,,
75,18.0,2_2_2_1_1,645.63,,,,,,,,,,,,,,
76,18.0,2_2_3_1_1,653.8,,,,,,,,,,,,,,
77,18.0,2_3_1_1_1,39.94,,,,,,,,,,,,,,
78,18.0,2_3_2_1_1,645.23,,,,,,,,,,,,,,
79,18.0,2_3_3_1_1,644.61,,,,,,,,,,,,,,
80,18.0,3_1_1_1_1,125.89,,,,,,,,,,,,,,
81,18.0,3_1_1_1_2,0.02,,,,,,,,,,,,,,
82,19.0,2_1_1_1_1,233.24,,,,,,,,,,,,,,
83,19.0,2_1_1_1_2,209.67,,,,,,,,,,,,,,
84,19.0,2_1_1_1_3,5.93,,,,,,,,,,,,,,
85,19.0,2_1_2_1_1,583.06,,,,,,,,,,,,,,
86,19.0,2_1_3_1_1,591.91,,,,,,,,,,,,,,
87,19.0,2_2_1_1_1,27.61,,,,,,,,,,,,,,
88,19.0,2_3_2_1_1,646.93,,,,,,,,,,,,,,
89,19.0,2_3_3_1_1,645.52,,,,,,,,,,,,,,
90,1.0,2_1_1_1_1,411.99,,,,,,,,,,,,,,
91,1.0,2_1_1_1_2,94.72,,,,,,,,,,,,,,
92,1.0,2_1_1_1_3,0.04,,,,,,,,,,,,,,
93,1.0,2_1_2_1_1,486.2,,,,,,,,,,,,,,
94,1.0,2_1_3_1_1,482.99,,,,,,,,,,,,,,
95,1.0,2_2_3_1_1,558.47,,,,,,,,,,,,,,
96,1.0,2_3_1_1_1,53.69,,,,,,,,,,,,,,
97,1.0,3_1_1_1_1,353.5,,,,,,,,,,,,,,
98,1.0,3_1_1_1_2,13.8,,,,,,,,,,,,,,
99,20.0,2_1_1_1_1,220.42,,,,,,,,,,,,,,
100,20.0,2_1_1_1_2,56.56,,,,,,,,,,,,,,
101,20.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
102,20.0,2_1_2_1_1,527.85,,,,,,,,,,,,,,
103,20.0,2_1_3_1_1,525.42,,,,,,,,,,,,,,
104,20.0,2_2_1_1_1,1.28,,,,,,,,,,,,,,
105,20.0,2_3_2_1_1,605.23,,,,,,,,,,,,,,
106,20.0,2_3_3_1_1,614.77,,,,,,,,,,,,,,
107,21.0,2_1_1_1_1,328.47,,,,,,,,,,,,,0.31,
108,21.0,2_2_1_1_1,3.64,,,,,,,,,,,,,0.0,
109,21.0,2_2_2_1_1,577.7,,,,,,,,,,,,,4074.17,
110,21.0,2_2_3_1_1,576.57,,,,,,,,,,,,,4472.87,
111,21.0,2_3_1_1_1,3.9,,,,,,,,,,,,,0.0,
112,21.0,2_3_2_1_1,575.24,,,,,,,,,,,,,4622.27,
113,21.0,2_3_3_1_1,573.4,,,,,,,,,,,,,4287.75,
114,21.0,3_1_1_1_1,562.18,,,,,,,,,,,,,10.36,
115,21.0,3_1_1_1_2,537.06,,,,,,,,,,,,,7.03,
116,22.0,2_1_1_1_1,0.02,,,,,,,,,,,,,,
117,22.0,2_1_1_1_2,0.02,,,,,,,,,,,,,,
118,22.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
119,22.0,2_2_1_1_1,0.02,,,,,,,,,,,,,,
120,22.0,2_2_2_1_1,569.15,,,,,,,,,,,,,,
121,22.0,2_2_3_1_1,571.97,,,,,,,,,,,,,,
122,22.0,2_3_1_1_1,0.02,,,,,,,,,,,,,,
123,22.0,2_3_2_1_1,575.87,,,,,,,,,,,,,,
124,22.0,2_3_3_1_1,572.26,,,,,,,,,,,,,,
125,22.0,3_1_1_1_1,208.62,,,,,,,,,,,,,,
126,22.0,3_1_1_1_2,56.56,,,,,,,,,,,,,,
127,23.0,2_1_1_1_1,101.81,,,,,,,,,,,,,,
128,23.0,2_1_1_1_2,35.03,,,,,,,,,,,,,,
129,23.0,2_1_1_1_3,0.66,,,,,,,,,,,,,,
130,23.0,2_1_2_1_1,507.84,,,,,,,,,,,,,,
131,23.0,2_1_3_1_1,499.19,,,,,,,,,,,,,,
132,23.0,2_3_2_1_1,569.06,,,,,,,,,,,,,,
133,23.0,2_3_3_1_1,573.83,,,,,,,,,,,,,,
134,24.0,2_1_1_1_1,1.51,,,,,,,,,,,,,,
135,24.0,2_1_1_1_2,14.21,,,,,,,,,,,,,,
136,24.0,2_1_1_1_3,0.02,,,,,,,,,,,,,,
137,24.0,2_1_2_1_1,144.95,,,,,,,,,,,,,,
138,24.0,2_1_3_1_1,138.15,,,,,,,,,,,,,,
139,24.0,2_2_1_1_1,0.02,,,,,,,,,,,,,,
140,24.0,2_3_2_1_1,176.63,,,,,,,,,,,,,,
141,24.0,2_3_3_1_1,170.96,,,,,,,,,,,,,,
142,25.0,2_2_1_1_1,499.98,,,,,,,,,,,,,,
143,25.0,2_2_2_1_1,583.56,,,,,,,,,,,,,,
144,25.0,2_2_3_1_1,575.29,,,,,,,,,,,,,,
145,25.0,2_3_1_1_1,520.66,,,,,,,,,,,,,,
146,25.0,2_3_2_1_1,572.71,,,,,,,,,,,,,,
147,25.0,2_3_3_1_1,573.55,,,,,,,,,,,,,,
148,25.0,3_1_1_1_1,484.22,,,,,,,,,,,,,,
149,25.0,3_1_1_1_2,345.83,,,,,,,,,,,,,,
150,2.0,2_1_1_1_1,0.02,,,0.0,,0.0,,,,0.0,,,,,
151,2.0,2_1_1_1_2,0.02,,,0.0,,0.0,,,,0.0,,,,,
152,2.0,2_1_1_1_3,0.02,,,0.0,,0.0,,,,0.0,,,,,
153,2.0,2_1_2_1_1,0.02,,,0.0,,0.0,,,,0.0,,,,,
154,2.0,2_1_3_1_1,0.02,,,0.0,,0.0,,,,0.0,,,,,
155,2.0,2_2_2_1_1,0.02,,,0.0,,0.0,,,,0.0,,,,,
156,2.0,2_3_1_1_1,0.02,,,0.0,,0.0,,,,0.0,,,,,
157,2.0,3_1_1_1_1,0.02,,,0.0,,0.0,,,,0.0,,,,,
158,3.0,2_1_2_1_1,4.84,,,,0.0,,,0.0,,,0.0,,,,
159,3.0,2_1_3_1_1,5.63,,,,0.0,,,0.0,,,0.0,,,,
160,3.0,2_2_1_1_1,0.09,,,,0.0,,,0.0,,,0.0,,,,
161,3.0,2_2_2_1_1,6.17,,,,0.0,,,0.0,,,0.0,,,,
162,3.0,2_2_3_1_1,5.57,,,,0.0,,,0.0,,,0.0,,,,
163,3.0,2_3_1_1_1,0.05,,,,0.0,,,0.0,,,0.0,,,,
164,3.0,2_3_2_1_1,6.87,,,,0.0,,,0.0,,,0.0,,,,
165,3.0,2_3_3_1_1,6.23,,,,0.0,,,0.0,,,0.0,,,,
166,3.0,3_1_1_1_1,0.07,,,,0.0,,,0.0,,,0.0,,,,
167,3.0,3_1_1_1_2,0.04,,,,0.0,,,0.0,,,0.0,,,,
168,4.0,2_1_2_1_1,0.02,,,,,,0.0,,,,,0.0,,,
169,4.0,2_2_1_1_1,0.02,,,,,,0.0,,,,,0.0,,,
170,4.0,2_2_3_1_1,0.02,,,,,,0.0,,,,,0.0,,,
171,4.0,2_3_1_1_1,0.02,,,,,,0.0,,,,,0.0,,,
172,4.0,2_3_2_1_1,0.02,,,,,,0.0,,,,,0.0,,,
173,4.0,2_3_3_1_1,0.02,,,,,,0.0,,,,,0.0,,,
174,4.0,3_1_1_1_1,0.02,,,,,,0.0,,,,,0.0,,,
175,4.0,3_1_1_1_2,0.02,,,,,,0.0,,,,,0.0,,,
176,5.0,2_1_1_1_1,216.76,,,,,,,,,,,,,,
177,5.0,2_1_1_1_2,47.49,,,,,,,,,,,,,,
178,5.0,2_1_1_1_3,3.34,,,,,,,,,,,,,,
179,5.0,2_1_2_1_1,491.41,,,,,,,,,,,,,,
180,5.0,2_1_3_1_1,503.11,,,,,,,,,,,,,,
181,5.0,2_2_3_1_1,562.29,,,,,,,,,,,,,,
182,5.0,2_3_1_1_1,146.31,,,,,,,,,,,,,,
183,5.0,3_1_1_1_1,210.37,,,,,,,,,,,,,,
184,5.0,3_1_1_1_2,21.14,,,,,,,,,,,,,,
185,6.0,2_1_1_1_1,447.75,,,,,,,,,,,,,,
186,6.0,2_1_1_1_2,215.09,,,,,,,,,,,,,,
187,6.0,2_1_1_1_3,102.14,,,,,,,,,,,,,,
188,6.0,2_1_2_1_1,493.69,,,,,,,,,,,,,,
189,6.0,2_1_3_1_1,499.07,,,,,,,,,,,,,,
190,6.0,2_2_2_1_1,565.1,,,,,,,,,,,,,,
191,6.0,2_3_1_1_1,483.75,,,,,,,,,,,,,,
192,6.0,3_1_1_1_1,482.63,,,,,,,,,,,,,,
193,7.0,2_1_3_1_1,563.38,,,,,,,,,,,,,,
194,7.0,2_2_1_1_1,489.4,,,,,,,,,,,,,,
195,7.0,2_2_2_1_1,624.58,,,,,,,,,,,,,,
196,7.0,2_2_3_1_1,625.89,,,,,,,,,,,,,,
197,7.0,2_3_1_1_1,476.2,,,,,,,,,,,,,,
198,7.0,2_3_2_1_1,630.04,,,,,,,,,,,,,,
199,7.0,2_3_3_1_1,632.16,,,,,,,,,,,,,,
200,7.0,3_1_1_1_1,365.61,,,,,,,,,,,,,,
201,7.0,3_1_1_1_2,108.96,,,,,,,,,,,,,,
202,8.0,2_1_1_1_1,0.02,,,,,,,,0.0,,,,0.0,,
203,8.0,2_1_1_1_2,0.02,,,,,,,,0.0,,,,0.0,,
204,8.0,2_1_1_1_3,0.02,,,,,,,,0.0,,,,0.0,,
205,8.0,2_1_2_1_1,0.02,,,,,,,,0.0,,,,0.0,,
206,8.0,2_1_3_1_1,0.02,,,,,,,,0.0,,,,0.0,,
207,8.0,2_3_3_1_1,0.02,,,,,,,,0.0,,,,0.0,,
208,9.0,2_1_1_1_1,209.66,,,,,,,,,,,,,,
209,9.0,2_1_1_1_2,50.67,,,,,,,,,,,,,,
210,9.0,2_1_1_1_3,7.17,,,,,,,,,,,,,,
211,9.0,2_2_1_1_1,1.27,,,,,,,,,,,,,,
212,9.0,2_2_2_1_1,570.18,,,,,,,,,,,,,,
213,9.0,2_2_3_1_1,565.66,,,,,,,,,,,,,,
214,9.0,2_3_1_1_1,1.25,,,,,,,,,,,,,,
215,9.0,2_3_2_1_1,570.28,,,,,,,,,,,,,,
216,9.0,2_3_3_1_1,568.31,,,,,,,,,,,,,,
217,9.0,3_1_1_1_1,39.99,,,,,,,,,,,,,,
218,9.0,3_1_1_1_2,1.73,,,,,,,,,,,,,,
219,2.0,2_3_2_1_1,,,,0.0,,0.0,,,,0.0,,,,,
220,2.0,2_3_3_1_1,,,,0.0,,0.0,,,,0.0,,,,,
221,2.0,2_2_1_1_1,,,,0.0,,0.0,,,,0.0,,,,,
222,2.0,3_1_1_1_2,,,,0.0,,0.0,,,,0.0,,,,,
223,2.0,2_2_3_1_1,,,,0.0,,0.0,,,,0.0,,,,,
224,3.0,2_1_1_1_3,,,,,0.0,,,0.0,,,0.0,,,,
225,3.0,2_1_1_1_2,,,,,0.0,,,0.0,,,0.0,,,,
226,3.0,2_1_1_1_1,,,,,0.0,,,0.0,,,0.0,,,,
227,4.0,2_1_1_1_1,,,,,,,0.0,,,,,0.0,,,
228,4.0,2_1_3_1_1,,,,,,,0.0,,,,,0.0,,,
229,4.0,2_1_1_1_3,,,,,,,0.0,,,,,0.0,,,
230,4.0,2_1_1_1_2,,,,,,,0.0,,,,,0.0,,,
231,8.0,2_2_1_1_1,,,,,,,,,0.0,,,,0.0,,
232,8.0,2_3_1_1_1,,,,,,,,,0.0,,,,0.0,,
233,8.0,2_2_2_1_1,,,,,,,,,0.0,,,,0.0,,
234,8.0,3_1_1_1_2,,,,,,,,,0.0,,,,0.0,,
235,8.0,2_2_3_1_1,,,,,,,,,0.0,,,,0.0,,
236,8.0,3_1_1_1_1,,,,,,,,,0.0,,,,0.0,,
237,8.0,2_3_2_1_1,,,,,,,,,0.0,,,,0.0,,
238,21.0,2_1_3_1_1,,,,,,,,,,,,,,87.4,
239,21.0,2_1_1_1_3,,,,,,,,,,,,,,0.43,
240,21.0,2_1_1_1_2,,,,,,,,,,,,,,0.51,
241,21.0,2_1_2_1_1,,,,,,,,,,,,,,93.8,
242,21.0,x_1_1_x_x,,,,,,,,,,,,,,19.34,
3_2_2_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_1_2_1_1,,,,,,,,,,,,,,,,,0.0
3_2_1_1_1_3,,,,,,,,,,,,,,,,,0.0
3_3_1_1_1_2,,,,,,,,,,,,,,,,,0.0
3_2_1_1_1_2,,,,,,,,,,,,,,,,,0.0
3_2_3_2_1_1,,,,,,,,,,,,,,,,,0.0
3_2_2_3_1_1,,,,,,,,,,,,,,,,,0.0
3_2_1_3_1_1,,,,,,,,,,,,,,,,,0.0
3_3_1_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_3_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_1_1_1_1,,,,,,,,,,,,,,,,,0.0
3_2_2_2_1_1,,,,,,,,,,,,,,,,,0.0
3_2_3_3_1_1,,,,,,,,,,,,,,,,,0.0
2_3_1_1_1_1,,,,,,,,,,,,,,,,,0.0
2_2_1_2_1_1,,,,,,,,,,,,,,,,,0.0
2_2_3_2_1_1,,,,,,,,,,,,,,,,,0.0
2_2_3_3_1_1,,,,,,,,,,,,,,,,,0.0
2_2_2_1_1_1,,,,,,,,,,,,,,,,,0.0
2_2_3_1_1_1,,,,,,,,,,,,,,,,,0.0
2_3_1_1_1_2,,,,,,,,,,,,,,,,,0.0
2_2_2_3_1_1,,,,,,,,,,,,,,,,,0.0
2_2_2_2_1_1,,,,,,,,,,,,,,,,,0.0
2_2_1_1_1_2,,,,,,,,,,,,,,,,,0.0
2_2_1_1_1_1,,,,,,,,,,,,,,,,,0.0
2_2_1_1_1_3,,,,,,,,,,,,,,,,,0.0
2_2_1_3_1_1,,,,,,,,,,,,,,,,,0.0
4_3_1_1_1_2,,,,,,,,,,,,,,,,,0.0
4_2_2_1_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_1_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_3_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_2_1_1,,,,,,,,,,,,,,,,,0.0
4_2_3_3_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_1_1_3,,,,,,,,,,,,,,,,,0.0
4_2_2_3_1_1,,,,,,,,,,,,,,,,,0.0
4_2_2_2_1_1,,,,,,,,,,,,,,,,,0.0
4_2_1_1_1_2,,,,,,,,,,,,,,,,,0.0
4_2_3_2_1_1,,,,,,,,,,,,,,,,,0.0
4_2_3_1_1_1,,,,,,,,,,,,,,,,,0.0
4_3_1_1_1_1,,,,,,,,,,,,,,,,,0.0
7_2_1_1_1_1,,,,,,,,,,,,,,,,,5.73
7_2_3_1_1_1,,,,,,,,,,,,,,,,,788.84
7_2_2_3_1_1,,,,,,,,,,,,,,,,,2764.43
7_2_3_2_1_1,,,,,,,,,,,,,,,,,2763.17
7_2_2_2_1_1,,,,,,,,,,,,,,,,,2764.14
7_2_2_1_1_1,,,,,,,,,,,,,,,,,782.89
7_2_1_1_1_3,,,,,,,,,,,,,,,,,0.76
7_2_1_3_1_1,,,,,,,,,,,,,,,,,15.84
7_3_1_1_1_1,,,,,,,,,,,,,,,,,14.09
7_2_1_1_1_2,,,,,,,,,,,,,,,,,2.68
7_2_1_2_1_1,,,,,,,,,,,,,,,,,15.81
7_3_1_1_1_2,,,,,,,,,,,,,,,,,0.76
7_2_3_3_1_1,,,,,,,,,,,,,,,,,2784.07
7_x_1_1_x_x,,,,,,,,,,,,,,,,,4.51
